Originalname,Chromosome_B73RefGen_v2position(bp)
SYN3554,2_4699070
SYN35543,1_8355740
SYN35545,1_8352937
SYN35550,1_8351543
SYN35551,1_8351500
SYN35555,4_193226797
SYN35556,3_214753282
SYN35567,6_72861372
SYN3557,2_4674071
SYN35570,6_72868687
SYN35571,6_72868578
SYN35572,6_72871493
SYN35574,6_72871339
SYN35577,6_72898758
SYN35580,10_146942657
SYN35585,10_146968834
SYN35586,10_146968824
SYN35589,2_204173420
SYN35608,2_204237827
SYN3561,2_9504502
SYN35611,10_114114444
SYN35617,1_141534624
SYN35618,1_175295506
SYN35629,1_81106413
SYN3563,9_148232622
SYN35630,1_81105269
SYN35634,8_7427840
SYN35639,5_136582622
SYN35647,5_88207917
SYN35649,5_88200697
SYN3565,9_148232940
SYN35654,1_65347197
SYN35657,1_65345912
SYN35660,8_115015311
SYN35663,3_6522809
SYN35669,2_201751681
SYN3567,9_148229939
SYN35682,5_25716845
SYN35687,1_62888346
SYN35688,1_62890313
SYN35689,1_62890527
SYN3569,9_148232465
SYN35691,1_62890027
SYN35692,1_62889988
SYN35693,7_39185977
SYN357,1_278352173
SYN35700,2_28117540
SYN35701,2_28037531
SYN3571,9_148229971
SYN35710,9_151566340
SYN35713,9_151478708
SYN35714,9_151478080
SYN35715,9_151478084
SYN35718,1_181891579
SYN35719,1_181891034
SYN3572,1_221401890
SYN35721,1_181884979
SYN35722,1_181889097
SYN35724,1_181890045
SYN35725,1_181889482
SYN35726,1_181889834
SYN35728,1_181890029
SYN35729,1_181889489
SYN35730,1_181889820
SYN35740,5_56778910
SYN35744,5_56783196
SYN35751,3_183260138
SYN35753,3_183257131
SYN35760,7_15281150
SYN35761,7_15282338
SYN35762,7_15276709
SYN35763,7_15281260
SYN35765,7_15281604
SYN35766,1_69888616
SYN35767,1_69881711
SYN35769,1_69880845
SYN3577,4_188315753
SYN35770,1_69889217
SYN35771,1_69887845
SYN35774,6_134856751
SYN35775,6_134854388
SYN35776,6_134859201
SYN35778,6_134857617
SYN35779,6_134854073
SYN35781,6_134904332
SYN35784,6_134853096
SYN35785,6_134853095
SYN35788,7_134971250
SYN3579,4_188314565
SYN35792,1_20106601
SYN35793,1_20108275
SYN35799,7_158157694
SYN3580,4_188315949
SYN35804,3_168696919
SYN35808,5_13137731
SYN35812,6_167821859
SYN35814,6_167821525
SYN35815,6_167984060
SYN35816,6_167824925
SYN35817,6_167824948
SYN35820,6_138058357
SYN35824,5_61001643
SYN35825,5_60994384
SYN35826,5_60993843
SYN35832,5_61000950
SYN35833,5_60996345
SYN35836,5_61000940
SYN35838,5_60993968
SYN35839,5_60993963
SYN35841,9_132814746
SYN35843,5_188831826
SYN35844,5_188756924
SYN35845,5_188832163
SYN35847,5_188827375
SYN3585,7_52305301
SYN35851,5_188831127
SYN35853,5_188847011
SYN35855,5_188831647
SYN35856,5_188834472
SYN35859,8_22174372
SYN35860,8_22173140
SYN35861,8_22173115
SYN35866,1_259522022
SYN35867,1_259534984
SYN35870,1_210645087
SYN35874,5_170069261
SYN35875,5_170069183
SYN35878,6_120277689
SYN35879,6_120281601
SYN35881,9_32340468
SYN35885,9_32340733
SYN35887,9_32337410
SYN35888,9_32339202
SYN35889,9_32339201
SYN35890,9_32339280
SYN35891,9_32339103
SYN35892,9_32339043
SYN35893,9_32339315
SYN35894,9_32337998
SYN35897,7_143113852
SYN35900,7_143116441
SYN35902,7_143114718
SYN35904,7_143020581
SYN35906,7_143113732
SYN35907,7_143113775
SYN35912,7_143113985
SYN35914,7_143014868
SYN35917,2_144075203
SYN3592,6_108056375
SYN35921,2_144073649
SYN35922,2_144073650
SYN35928,8_91777373
SYN35929,8_91778430
SYN35932,8_91617297
SYN35941,1_238464717
SYN35942,1_238464675
SYN35950,5_3726228
SYN35952,7_155618521
SYN35953,7_155586122
SYN35954,7_155593690
SYN35956,7_155592075
SYN35957,7_155592098
SYN35959,6_151638512
SYN35963,6_151581241
SYN35974,1_231186796
SYN35975,1_231182654
SYN35976,1_231182659
SYN35977,1_231186353
SYN3598,5_208899619
SYN35986,1_193321851
SYN35987,1_193321689
SYN35993,1_193254531
SYN35997,1_193319123
SYN35998,1_193319081
SYN35999,8_170665640
SYN36001,8_170774903
SYN36002,8_170665553
SYN36005,8_170665384
SYN36009,2_12348848
SYN36013,2_12350353
SYN36015,2_36768103
SYN36029,10_96838165
SYN36030,7_6217202
SYN36033,7_6221165
SYN36037,7_6144987
SYN36040,7_11570621
SYN36047,7_11572975
SYN36048,7_11570917
SYN36069,3_187922569
SYN36073,1_44801289
SYN36074,1_44802906
SYN36076,1_44802580
SYN36077,1_44802112
SYN36078,1_44802094
SYN36080,1_44802685
SYN36092,10_144914349
SYN36096,7_142032467
SYN36098,1_41102924
SYN36099,1_41103128
SYN36100,1_41101416
SYN36102,1_184907960
SYN36103,1_184908147
SYN36105,1_184908011
SYN36107,2_199164954
SYN36108,7_157876103
SYN36111,5_87115299
SYN36114,4_33438817
SYN36116,4_33438146
SYN36120,5_210882246
SYN36136,5_171964318
SYN3614,8_123609179
SYN36142,1_5327118
SYN36143,1_5327458
SYN36146,1_5338021
SYN36149,1_5326925
SYN36150,1_5326957
SYN36155,2_176871550
SYN36156,2_176872926
SYN36157,2_176871676
SYN36159,2_176870704
SYN36160,2_176870714
SYN36171,7_43705775
SYN36173,7_43705426
SYN36175,7_43705415
SYN36179,1_296023133
SYN36182,1_296002235
SYN36186,1_296016259
SYN36188,9_3080081
SYN36189,9_3010634
SYN36192,7_1946716
SYN36193,7_1972892
SYN36195,7_1978528
SYN36198,7_1987512
SYN362,1_16792521
SYN36201,7_1951412
SYN36203,6_136249171
SYN36204,6_136250520
SYN36205,6_136287654
SYN36206,6_136254415
SYN36207,6_136252315
SYN36208,6_136256762
SYN36209,6_136256739
SYN36210,6_136250664
SYN36211,1_248151072
SYN36212,1_248150621
SYN36214,1_248151139
SYN36216,1_248151209
SYN36218,1_248287728
SYN36219,1_248151309
SYN36220,1_248150852
SYN36222,5_212376858
SYN36225,4_5964840
SYN36229,2_105564522
SYN3623,8_111193701
SYN36231,10_71161754
SYN36232,10_71163216
SYN36233,10_71163208
SYN36234,10_71162590
SYN3624,8_90361324
SYN36242,3_10095293
SYN36243,3_10140471
SYN36244,3_10094613
SYN36246,3_10142615
SYN36249,5_61073240
SYN36250,1_248848086
SYN36274,8_87033018
SYN36275,8_87034328
SYN36280,3_113556249
SYN36281,1_187270348
SYN36287,5_190733960
SYN36288,5_190736002
SYN36289,5_190735312
SYN36290,5_190736025
SYN36292,1_51535302
SYN36293,1_51535377
SYN3630,6_110534642
SYN36300,3_187028970
SYN36301,3_187005250
SYN36305,3_187100356
SYN36306,4_13396236
SYN36308,3_209973442
SYN36309,3_209853288
SYN36310,3_209973792
SYN36311,3_209913159
SYN36312,3_209853649
SYN36313,3_209904752
SYN36314,3_209904750
SYN36317,3_209905204
SYN3632,1_184700424
SYN36329,5_190236121
SYN36330,5_190236290
SYN36334,5_190242540
SYN36336,5_190236988
SYN36342,10_132885424
SYN36343,5_92806148
SYN36345,7_116516624
SYN36346,7_116568751
SYN36347,7_116516541
SYN36348,7_116516557
SYN36352,8_116623259
SYN36358,9_9311790
SYN36359,9_9302940
SYN36360,9_9386680
SYN36361,9_9356216
SYN36362,9_9311106
SYN36365,9_9393133
SYN36367,8_173890845
SYN36374,8_173856828
SYN36379,8_173919941
SYN36383,1_141076738
SYN36384,1_140985180
SYN36385,1_140984962
SYN36386,1_141076339
SYN36387,1_141076375
SYN36391,3_213787190
SYN36395,3_213800881
SYN36397,3_213789946
SYN36398,3_213654584
SYN364,1_16800487
SYN36407,1_66015286
SYN36408,1_66024494
SYN36409,1_66024929
SYN3641,6_99767943
SYN36411,2_110484085
SYN36414,2_110482910
SYN36416,2_110483022
SYN36418,2_110406973
SYN36419,2_110496175
SYN36425,2_110482787
SYN36434,2_6471098
SYN36436,2_6471424
SYN36439,2_6467364
SYN36442,2_6467240
SYN36443,2_6467175
SYN36447,2_57056046
SYN36453,2_57056109
SYN36455,2_57056146
SYN36460,9_130406181
SYN36463,8_169016463
SYN36464,8_168934371
SYN36466,8_169013401
SYN36467,8_169013427
SYN36468,8_169013325
SYN36472,9_105824379
SYN36475,9_45294218
SYN36476,9_45294678
SYN36478,3_6643220
SYN36479,5_147981728
SYN3648,7_156643747
SYN36480,5_147984442
SYN36487,1_36214121
SYN36488,1_36214013
SYN36489,1_36220483
SYN36492,1_36213754
SYN36497,1_194994567
SYN36500,1_107447954
SYN36502,1_107450994
SYN36503,5_189769183
SYN36506,5_189769179
SYN36507,5_189767856
SYN36508,5_189774733
SYN36509,5_189767827
SYN36510,5_189773211
SYN36511,5_189773201
SYN36512,5_189769965
SYN36514,10_148998873
SYN3652,7_156667314
SYN36520,10_148921580
SYN36521,10_148921598
SYN36524,1_6424100
SYN36527,8_167988920
SYN36528,8_167989742
SYN36532,8_167989172
SYN36533,8_167989112
SYN36538,8_12903707
SYN36539,8_12934662
SYN3654,7_156644703
SYN36540,8_12903770
SYN36545,8_12989864
SYN36547,8_12990572
SYN36554,1_51756546
SYN36556,1_42522289
SYN36558,8_10813495
SYN36560,8_10862428
SYN36566,7_9368815
SYN36572,7_9329135
SYN36574,7_9330083
SYN36576,7_9330622
SYN36577,7_9330613
SYN36578,7_9330089
SYN36579,7_9329883
SYN3658,7_156577168
SYN36580,7_9331385
SYN36582,7_9331469
SYN36585,1_73874304
SYN36588,5_192613679
SYN36598,2_168551327
SYN3660,7_156577169
SYN36600,1_245694133
SYN36601,1_245693950
SYN36602,1_245696693
SYN36604,2_234210789
SYN36607,2_234209259
SYN36615,1_48687151
SYN36620,1_48692371
SYN36627,9_92027955
SYN36634,2_16938729
SYN36641,2_43185799
SYN36643,2_43183208
SYN36645,2_144984928
SYN36647,2_144881570
SYN3665,7_156643672
SYN36653,7_86801759
SYN36654,7_86801393
SYN3666,7_156643685
SYN36660,5_175181964
SYN36662,5_175211575
SYN36670,5_175182105
SYN36672,6_135143110
SYN36673,6_135080666
SYN36674,6_135143457
SYN36675,6_135081044
SYN36677,2_55679719
SYN36679,2_55679880
SYN36680,2_55679576
SYN36685,5_93230994
SYN36686,5_93231388
SYN36688,5_93230798
SYN367,1_16826305
SYN36703,4_146536368
SYN36705,10_141571841
SYN36709,10_141623111
SYN36710,10_141574282
SYN36711,10_141574287
SYN36712,10_141572171
SYN36714,10_141572157
SYN36719,8_68690911
SYN36721,8_68692223
SYN36722,8_68691316
SYN36726,1_121490520
SYN36727,1_121487842
SYN36728,1_121496387
SYN36738,10_119902041
SYN36741,2_206259739
SYN36742,6_77002117
SYN36744,6_77002452
SYN36745,6_77002459
SYN36748,1_235454108
SYN3675,6_95476425
SYN36750,2_176726049
SYN36753,2_176610468
SYN36754,2_176610288
SYN36755,2_176727500
SYN36756,2_176726681
SYN36763,4_4862353
SYN36764,4_4866374
SYN36769,4_4908092
SYN3677,6_95476531
SYN36770,5_3946412
SYN36772,3_25865416
SYN36774,3_25862727
SYN36779,2_184968010
SYN3678,6_95472950
SYN36781,10_134974965
SYN36793,9_90969757
SYN36794,9_90969667
SYN36796,9_90969822
SYN36798,2_723027
SYN36799,2_751929
SYN3680,1_147082383
SYN36800,2_755444
SYN36801,2_727848
SYN36804,1_112143333
SYN36805,1_112141365
SYN36806,1_112143496
SYN36807,5_166396788
SYN36809,5_166468394
SYN36810,5_166468405
SYN36812,2_223389968
SYN36817,8_173505321
SYN36818,8_173505164
SYN36819,8_173504358
SYN36820,8_173503895
SYN36823,6_29011980
SYN36828,6_29014061
SYN36831,6_28146885
SYN36832,6_28225073
SYN36833,6_28173945
SYN36834,6_28144832
SYN36836,6_28128584
SYN3684,6_62879125
SYN36851,5_205306953
SYN36852,5_205308574
SYN36854,5_205308725
SYN36885,1_155194840
SYN36892,1_180517485
SYN36897,1_180520434
SYN36898,1_180517594
SYN36899,1_180517741
SYN369,1_167851635
SYN3690,2_21393785
SYN36900,1_180517769
SYN36902,4_194846271
SYN36903,4_194856105
SYN36904,3_214899677
SYN36907,3_214900191
SYN36908,3_214899889
SYN36909,3_214900353
SYN36915,2_133153806
SYN36916,2_133153899
SYN36919,3_186205798
SYN3692,2_21269435
SYN36924,5_2363120
SYN36925,5_2361135
SYN36928,5_2363355
SYN36929,5_2497335
SYN3693,2_21394313
SYN36930,5_2363289
SYN36931,5_2363626
SYN36932,5_2356754
SYN36933,5_2356218
SYN36940,4_204601039
SYN36943,7_35011271
SYN36944,7_35008362
SYN36946,4_233845381
SYN36948,4_233821461
SYN36949,4_233828118
SYN3695,5_216088711
SYN36950,4_233823255
SYN36957,4_33119560
SYN36961,4_33120348
SYN36962,4_33119826
SYN36964,7_134136090
SYN3697,5_216158126
SYN36971,2_128197413
SYN36972,2_128197416
SYN36975,2_128197319
SYN36976,2_128183291
SYN36981,1_87449842
SYN36984,2_59630264
SYN36985,2_59634528
SYN36987,2_59712482
SYN3699,5_216087819
SYN36996,2_59634384
SYN36997,2_59634332
SYN36999,3_181827487
SYN37,2_2595032
SYN3700,5_216163416
SYN37002,3_181791896
SYN37005,3_181832029
SYN37012,3_181826802
SYN37014,6_148245451
SYN37016,6_148248228
SYN37017,6_148245269
SYN3702,5_216088613
SYN37022,4_69843282
SYN37023,4_69843493
SYN37027,1_218716813
SYN37028,1_218721058
SYN37029,1_218721074
SYN3703,5_216088648
SYN37032,1_218716952
SYN37033,6_93100186
SYN37037,5_29992244
SYN3704,5_216088224
SYN37042,5_30300141
SYN37044,5_30298846
SYN37049,5_30298755
SYN37051,9_89971919
SYN37052,9_89972206
SYN37053,9_89972209
SYN37058,3_229131005
SYN3706,8_21755840
SYN37060,3_229153740
SYN37062,3_229086107
SYN37063,3_229084427
SYN37068,5_179670612
SYN37069,5_179671145
SYN37071,5_179670988
SYN37073,1_88889260
SYN37077,3_118163219
SYN37080,3_118163100
SYN37086,8_15431384
SYN37087,8_15433174
SYN37089,8_15435297
SYN3709,9_8432871
SYN37091,6_66342753
SYN37096,7_174155462
SYN37097,7_174153590
SYN3710,9_8432750
SYN37100,7_174154478
SYN37101,7_174154479
SYN37102,7_174149511
SYN37103,7_174149481
SYN37106,10_15719492
SYN37107,10_15719375
SYN37109,10_15799690
SYN3711,9_8432754
SYN37111,10_15717562
SYN37112,10_15800292
SYN37114,1_189083125
SYN37115,1_189082560
SYN37116,1_189082903
SYN37117,1_189083020
SYN37119,1_189092493
SYN37120,1_189088258
SYN37124,1_262719980
SYN37125,1_262719827
SYN37128,10_81828238
SYN37129,10_81959531
SYN37133,4_238057060
SYN37134,4_238054564
SYN37136,4_238057957
SYN37138,4_238054790
SYN37141,4_223107439
SYN37142,4_223107502
SYN37148,7_129350801
SYN3715,7_121681638
SYN37154,3_57083624
SYN37155,3_57089558
SYN37156,3_57087718
SYN37157,3_57099660
SYN37159,3_57092069
SYN3716,7_121680819
SYN37160,3_57089211
SYN37161,3_57010189
SYN37162,3_56987889
SYN37164,3_57088998
SYN37165,3_57089001
SYN37170,1_290858068
SYN37172,1_290856725
SYN37173,1_227930514
SYN37175,1_228005834
SYN37177,7_115981112
SYN37179,7_116023128
SYN37180,7_115969947
SYN37184,7_115981218
SYN37189,5_174623151
SYN37191,5_174626535
SYN37195,5_174619841
SYN37197,5_174623713
SYN37199,5_174620235
SYN372,1_12357299
SYN3721,6_82620628
SYN37210,2_232501506
SYN37211,2_232371105
SYN37212,2_232394254
SYN37213,2_232467911
SYN37214,2_232461062
SYN37219,2_232368205
SYN3722,6_82615971
SYN37220,2_232392725
SYN37221,2_232392706
SYN37222,2_232528683
SYN37223,2_232528685
SYN37229,5_213602775
SYN37232,5_213548062
SYN37234,5_213562247
SYN37237,5_213538081
SYN37238,5_213546460
SYN3724,6_82499814
SYN37242,5_213560304
SYN37246,10_133369660
SYN37247,10_133367582
SYN37252,7_145458803
SYN37256,4_238953378
SYN3726,8_142231170
SYN37262,2_155089629
SYN37263,2_155088820
SYN37265,8_131799613
SYN37267,8_131799714
SYN37268,8_131803652
SYN37278,2_109576764
SYN3728,8_142231517
SYN37291,1_30754598
SYN37292,1_30760105
SYN37299,1_41956983
SYN37302,1_41962191
SYN37304,7_85707488
SYN37305,7_85637212
SYN37306,7_85636926
SYN37308,2_233906299
SYN37310,2_234032004
SYN37311,2_233908519
SYN37314,2_233910775
SYN37315,2_116171665
SYN37316,2_116170981
SYN37317,5_138156116
SYN3732,8_142227395
SYN37322,9_1026905
SYN37323,9_1021207
SYN37324,9_1025456
SYN37326,9_1026012
SYN37327,9_1025703
SYN3733,8_142226785
SYN37330,9_1026268
SYN37335,6_136407156
SYN37339,9_139188157
SYN37343,3_196439095
SYN37347,9_86666370
SYN37349,9_86666128
SYN3735,7_127297693
SYN37351,9_86662014
SYN37354,3_13728650
SYN37356,3_13728727
SYN37357,5_141256264
SYN3736,7_127297632
SYN37366,10_139976641
SYN37367,10_139995646
SYN3737,7_127298994
SYN37370,10_139995487
SYN37372,10_139995256
SYN37373,10_139995358
SYN37374,10_140142700
SYN37375,10_139995185
SYN3738,7_127298382
SYN37380,5_164361184
SYN37381,5_164361293
SYN37382,7_19084889
SYN37384,3_195965219
SYN37386,3_195936473
SYN37387,3_195935474
SYN37388,3_195941604
SYN37401,5_92368964
SYN37402,5_92368981
SYN37407,9_40210281
SYN37408,9_40210695
SYN37410,3_139668904
SYN37412,7_173829544
SYN37414,7_173823313
SYN37415,7_173829936
SYN37417,7_173828891
SYN37418,7_173828685
SYN37419,7_173827859
SYN37420,7_173961155
SYN37421,7_173889218
SYN37438,2_168450691
SYN37439,8_117572654
SYN37452,1_276118986
SYN37453,1_276111527
SYN37460,1_276204067
SYN37464,9_28610772
SYN37465,9_28612381
SYN37470,9_124578816
SYN37475,9_124561792
SYN37477,5_164657367
SYN37478,10_125970841
SYN37479,10_86416656
SYN37480,10_86514145
SYN37481,10_86514146
SYN37483,1_34596313
SYN37484,1_34595381
SYN37495,3_31100986
SYN37496,3_31100859
SYN37497,3_31100877
SYN37498,2_208852263
SYN37500,2_208848861
SYN37507,6_60181781
SYN37508,6_60187444
SYN37525,5_170415957
SYN37526,1_273307365
SYN37527,3_167001101
SYN37528,3_166998396
SYN37532,3_167007229
SYN37537,5_9376974
SYN37539,5_9473494
SYN37541,4_213499591
SYN37542,5_139232274
SYN37548,1_289279882
SYN37550,2_4834367
SYN37554,2_4836264
SYN37559,2_4891427
SYN37561,2_4892815
SYN37566,2_4891246
SYN37569,2_4839270
SYN3757,7_19497972
SYN37570,2_4891970
SYN37572,9_12720118
SYN37573,9_12580099
SYN37574,9_12580101
SYN37576,6_142084227
SYN37579,3_178554043
SYN3758,7_19486529
SYN37581,3_178537710
SYN37585,3_178606584
SYN37587,10_75811679
SYN37588,10_75810736
SYN37589,10_75810355
SYN37590,10_75812479
SYN37592,6_55649814
SYN37599,5_160756771
SYN376,1_210100153
SYN37601,5_160756698
SYN37603,5_160758058
SYN37607,2_67931211
SYN3761,7_19494829
SYN37611,9_105531267
SYN37614,1_193877737
SYN37615,1_193869239
SYN37617,9_105428453
SYN3762,7_19494741
SYN37624,1_224240169
SYN37626,1_224243953
SYN3763,7_19583761
SYN37632,8_155845904
SYN37638,7_23958804
SYN37639,7_23950752
SYN37640,7_23955895
SYN37641,7_23960276
SYN37644,6_33247550
SYN37646,6_33192007
SYN37647,9_105064711
SYN3765,6_131991597
SYN37666,3_17022082
SYN37667,3_17034047
SYN37671,1_206858877
SYN37673,1_206858950
SYN37674,1_206859509
SYN37675,1_287715991
SYN37676,1_287715354
SYN37677,1_287718983
SYN37678,1_287716087
SYN37680,1_287595266
SYN37684,1_287718234
SYN37685,1_287715592
SYN37690,1_287713729
SYN37691,1_287718306
SYN37692,1_287722174
SYN37693,1_287718333
SYN37695,1_287715660
SYN37696,1_287718705
SYN37701,1_287718624
SYN37702,1_213152142
SYN37706,1_213230805
SYN37707,1_213230868
SYN37708,1_213098622
SYN3771,4_172522983
SYN37713,3_13314920
SYN37714,3_13462180
SYN37715,3_13314647
SYN37716,3_13315061
SYN37719,3_13393115
SYN3772,1_79417520
SYN37721,3_13314842
SYN37722,3_13312308
SYN37724,3_13312517
SYN37725,3_13312272
SYN37729,3_13464285
SYN3773,1_79443647
SYN37730,3_13464342
SYN37731,3_13314737
SYN37733,3_13464131
SYN37739,5_177677624
SYN3774,1_79444497
SYN37740,5_177669057
SYN37746,4_199712123
SYN37757,3_138642785
SYN3776,1_79417616
SYN37760,5_141168244
SYN37761,5_141168475
SYN37767,5_141251696
SYN37768,5_141171923
SYN37774,9_95455327
SYN37775,1_47135598
SYN37776,1_47135501
SYN37777,1_47135487
SYN37778,1_47133059
SYN37779,1_47133040
SYN3778,1_79441827
SYN37784,3_171899389
SYN37786,3_171894961
SYN37788,3_171894976
SYN37793,2_177509963
SYN37795,2_214149303
SYN37797,8_11501032
SYN3780,1_79443968
SYN37801,8_11535196
SYN37803,8_11535252
SYN37805,6_8675836
SYN37806,6_8675835
SYN37808,10_9586068
SYN37813,1_46861470
SYN37815,1_46929985
SYN37816,1_46857879
SYN37818,2_199817143
SYN37820,2_199896110
SYN37836,5_9911057
SYN37837,5_9900694
SYN3784,8_67722188
SYN37844,5_9904030
SYN37851,5_9905022
SYN37855,3_115753895
SYN37858,6_68208371
SYN3786,8_94437948
SYN37863,6_68201705
SYN37864,6_68201676
SYN37867,7_28764069
SYN3787,8_94437493
SYN37874,6_97914744
SYN37884,4_220092624
SYN37885,4_219995821
SYN37886,4_220089780
SYN37887,4_219996183
SYN37888,4_219994707
SYN37889,4_220091274
SYN3789,8_94436967
SYN37893,4_219996097
SYN37899,4_220086621
SYN379,1_162268108
SYN37900,4_219993873
SYN37903,4_219993932
SYN37905,1_190189367
SYN37910,7_171745980
SYN37911,7_171631236
SYN37915,6_2722798
SYN37918,6_2591199
SYN37919,5_175055334
SYN37921,2_46160057
SYN37922,2_46157668
SYN37923,2_46158259
SYN37925,2_46155696
SYN3793,2_228808900
SYN37930,2_46157941
SYN37931,2_46157956
SYN37932,2_46158969
SYN37934,2_46157749
SYN37936,2_46157799
SYN37939,1_56892934
SYN37946,1_56983112
SYN37948,1_56983568
SYN3795,3_186794084
SYN37950,1_56893588
SYN37952,10_72981756
SYN37953,10_73129327
SYN37954,10_72982183
SYN37958,10_72980094
SYN37961,7_4795874
SYN37962,7_4703507
SYN37963,7_4703474
SYN37965,2_10777079
SYN37966,2_10781955
SYN3797,4_63825919
SYN37971,2_10776598
SYN37974,2_10782867
SYN37976,2_10782840
SYN37981,2_149186864
SYN37983,2_149203215
SYN37984,2_149164250
SYN37985,2_149187421
SYN37987,2_149186368
SYN37988,2_149187355
SYN37990,6_137493693
SYN37993,6_151456675
SYN37994,6_151455373
SYN37995,6_151483755
SYN37997,6_151543228
SYN37998,6_151485854
SYN37999,6_151442112
SYN38000,6_151453171
SYN38002,10_73282425
SYN38003,10_73282714
SYN38004,2_177649376
SYN38006,7_23538010
SYN38007,7_23534931
SYN38008,7_23534964
SYN3801,7_5553349
SYN38015,1_218097429
SYN38017,1_218097347
SYN3802,7_5525021
SYN38020,5_87413819
SYN38022,5_87419175
SYN38024,5_87415551
SYN38026,5_68427003
SYN38029,5_68427392
SYN38034,5_68427549
SYN38036,5_68427474
SYN38039,5_68428066
SYN38041,5_68397212
SYN38042,5_68402566
SYN38043,5_68401263
SYN38049,5_68428508
SYN3805,7_5612713
SYN38052,5_68398790
SYN38053,5_68397350
SYN38058,5_68426862
SYN38060,5_68426889
SYN3807,7_5525020
SYN38075,5_6358369
SYN38077,6_158207452
SYN38078,6_158225752
SYN3808,7_5552508
SYN38080,6_158091597
SYN38081,6_158185686
SYN38082,6_158119438
SYN38086,6_158091099
SYN38091,1_105228953
SYN38092,1_105151407
SYN38093,1_105151576
SYN38095,1_105151578
SYN38099,7_15075690
SYN381,1_162268385
SYN3810,7_5612721
SYN38105,10_71462478
SYN38106,10_71471618
SYN38107,10_71463532
SYN38110,2_233356617
SYN38118,2_233401722
SYN38123,4_60811063
SYN38124,4_60812088
SYN38126,4_60811616
SYN38128,7_176145738
SYN38130,3_222045814
SYN38131,3_222029725
SYN38133,2_7430202
SYN38134,2_7274924
SYN38137,2_7266841
SYN38138,6_112812721
SYN38139,6_112812040
SYN38140,6_112803148
SYN38141,4_100330907
SYN38142,5_71853484
SYN38143,5_71852644
SYN38144,5_71852641
SYN38145,5_71853880
SYN38149,10_141478162
SYN38150,10_141375429
SYN38151,10_141377442
SYN38152,10_141375524
SYN38155,2_10381987
SYN38156,2_10382370
SYN38157,2_10387697
SYN38158,2_10386100
SYN38159,9_135855445
SYN38160,9_135897300
SYN38161,9_135855845
SYN38163,9_135855353
SYN38164,9_135856406
SYN38170,3_199104395
SYN38171,3_199056331
SYN38172,3_199026080
SYN38174,3_199026113
SYN38179,3_10676150
SYN3818,6_131358442
SYN38181,3_10686057
SYN38189,3_10686161
SYN38196,1_277850401
SYN38198,6_135316422
SYN38199,7_144821800
SYN382,1_162266403
SYN38203,7_144755088
SYN38204,7_144744200
SYN38205,7_144755490
SYN38214,7_144760852
SYN38215,2_172705412
SYN38218,6_115552386
SYN38221,7_133606720
SYN38223,7_133606291
SYN38224,7_133530294
SYN38227,7_133530808
SYN38228,7_133530779
SYN38232,5_10088685
SYN38234,5_10091198
SYN3824,4_235400598
SYN38240,5_9951664
SYN38246,5_164998592
SYN38249,4_204343009
SYN3825,4_235403614
SYN38250,4_204349864
SYN38251,2_94751825
SYN38252,5_198102348
SYN38254,10_77334800
SYN38255,5_190748078
SYN38257,5_190745956
SYN38258,5_190748444
SYN38260,9_136572960
SYN38264,9_136577124
SYN38267,9_136573249
SYN38269,9_136583562
SYN38272,1_63891595
SYN38273,1_63891566
SYN38278,5_199769831
SYN38279,5_199770417
SYN3828,4_235393829
SYN38280,5_199770032
SYN38286,5_199787447
SYN38288,5_199787446
SYN38289,5_199768598
SYN38295,2_210078563
SYN38300,4_192219130
SYN38303,4_35219080
SYN38308,7_132805691
SYN38309,7_132808320
SYN38312,7_132805815
SYN38313,7_132810132
SYN38316,1_293998608
SYN38320,1_293997409
SYN38321,1_293932416
SYN38322,1_293932374
SYN38325,1_293997599
SYN38333,2_115066456
SYN3834,4_235396233
SYN38347,8_23082056
SYN38348,8_23081965
SYN38349,8_23081945
SYN38352,6_123606365
SYN38353,6_123686443
SYN38354,6_123686448
SYN38358,10_128025527
SYN38359,10_127994814
SYN38360,10_127972793
SYN38366,5_79857983
SYN38367,5_157463014
SYN38370,5_157497190
SYN38371,5_157448229
SYN38374,5_157496959
SYN38375,5_157519677
SYN38378,5_157463411
SYN38379,5_157496779
SYN3838,6_161863765
SYN38386,1_63585932
SYN38393,1_41536874
SYN38395,1_41537185
SYN38396,1_41535834
SYN38399,9_77323537
SYN384,1_162408409
SYN38411,3_11632501
SYN38412,3_11534876
SYN38413,3_11631348
SYN38414,3_11631270
SYN38416,3_11535267
SYN38417,3_11535220
SYN38419,4_34554924
SYN38420,4_34555228
SYN38421,4_34558440
SYN38424,4_34468908
SYN38432,3_12572315
SYN38436,3_146438330
SYN38437,3_146373270
SYN38443,3_146374847
SYN38444,3_146374850
SYN38445,8_19120665
SYN38459,4_112818242
SYN3846,2_42619061
SYN38460,4_112818466
SYN38466,5_179148613
SYN3847,2_42619694
SYN38470,9_10012179
SYN38471,9_10012176
SYN38473,1_59863611
SYN3848,2_42620330
SYN38486,9_87565118
SYN3849,2_42620607
SYN38494,7_146767857
SYN38495,7_146767859
SYN38499,1_41240442
SYN3850,2_42620108
SYN38500,1_41277586
SYN38501,1_41277569
SYN38508,1_72111089
SYN38509,1_72097319
SYN3851,2_42620115
SYN38510,1_72097383
SYN38511,1_72112397
SYN38516,5_57433545
SYN38521,4_198116787
