Originalname	Chromosome	B73RefGen_v2position(bp)
SYN22011	6	141864265
SYN22016	6	143996623
SYN22017	6	143959534
SYN22019	6	143993192
SYN22020	6	143982679
SYN22021	6	143955268
SYN22023	6	143951396
SYN22024	6	143954291
SYN22026	6	143983569
SYN22032	6	143983474
SYN22036	10	76586897
SYN22037	10	76638537
SYN22039	10	76639550
SYN2204	4	178062534
SYN22040	10	76641427
SYN22041	10	76642084
SYN22042	10	76639484
SYN22043	10	76645374
SYN22044	10	76643291
SYN22045	10	76587353
SYN22048	5	69975551
SYN22054	5	10899827
SYN22059	5	203210846
SYN2206	4	163848773
SYN22060	5	203211370
SYN22065	1	250188569
SYN22066	1	250191062
SYN22070	8	130509443
SYN22071	6	2882514
SYN22074	6	2880012
SYN22075	4	234188216
SYN22077	4	234188486
SYN22080	9	136917463
SYN22082	9	136917385
SYN22083	9	136910684
SYN22084	9	136919665
SYN22085	9	136916799
SYN22086	6	98027171
SYN22087	6	98013232
SYN22089	6	98004341
SYN22091	6	98009674
SYN22094	6	156927759
SYN22097	6	156881620
SYN22098	6	156928420
SYN22102	6	156983005
SYN22105	6	157024288
SYN22106	6	156981518
SYN22112	6	156928123
SYN22117	10	25554722
SYN22121	5	30218783
SYN22123	10	129523445
SYN22125	10	129566713
SYN22128	10	96338695
SYN22129	2	11397790
SYN22130	2	11397924
SYN22131	2	11386375
SYN22141	8	70970609
SYN22149	7	141885242
SYN2215	4	177323827
SYN22151	7	141887594
SYN22152	7	141887698
SYN22155	7	141825938
SYN22157	7	141825714
SYN22159	7	141841014
SYN22160	7	141905228
SYN22164	7	141825209
SYN22167	7	141835948
SYN22169	7	141826425
SYN22175	7	141842132
SYN22179	7	141827396
SYN22185	5	176038669
SYN22187	5	176038263
SYN22191	7	153219710
SYN22193	7	153175122
SYN22194	7	153175123
SYN22197	2	142864795
SYN22200	10	89419235
SYN22202	10	89419433
SYN22214	3	196095712
SYN22216	3	196062953
SYN22218	5	204909106
SYN2222	5	23267156
SYN22221	3	196875626
SYN22222	3	196938071
SYN22223	3	196942020
SYN22224	3	196943707
SYN22226	3	196943434
SYN22227	3	196943766
SYN22230	4	198773209
SYN22236	1	15354211
SYN22238	1	15491852
SYN2224	5	23361719
SYN22241	9	144800224
SYN22242	9	144812678
SYN2225	5	23268362
SYN22252	8	173975164
SYN22253	1	223765174
SYN22256	8	174252109
SYN22257	8	174252679
SYN22261	5	34046102
SYN22265	8	167125210
SYN22267	8	166975408
SYN2227	5	23363995
SYN22271	8	167092997
SYN22272	8	167092992
SYN22275	9	4838993
SYN22277	9	4840954
SYN22278	9	4840672
SYN22279	9	4840681
SYN2228	5	23365073
SYN22281	9	4838919
SYN22282	9	4838873
SYN22288	1	256690247
SYN22289	7	32093683
SYN2229	5	23340857
SYN22291	6	24319463
SYN22292	6	24319070
SYN22294	6	24324420
SYN22297	6	26486127
SYN22299	2	51331824
SYN2230	5	23337478
SYN22301	2	51329226
SYN22303	2	51331986
SYN22309	2	198321822
SYN2231	5	23341863
SYN22310	8	65784383
SYN22312	8	65782068
SYN22313	8	65781494
SYN22314	8	65784493
SYN22316	6	96925350
SYN22320	8	62665327
SYN22321	8	62665056
SYN22322	8	62666071
SYN22323	8	62662788
SYN22325	8	62660759
SYN22326	8	62662795
SYN2233	5	23341922
SYN22376	3	195420253
SYN22379	10	123376961
SYN22381	10	123374465
SYN22387	5	212244335
SYN22396	7	134082587
SYN22397	7	134086753
SYN22398	7	134127332
SYN22400	7	134101320
SYN22401	7	134099896
SYN22403	7	134080247
SYN22404	7	134096600
SYN22406	7	134080000
SYN22413	9	59941330
SYN22415	5	215359150
SYN22416	5	215358498
SYN22419	5	215344831
SYN2242	4	173210635
SYN22420	5	215343163
SYN22421	5	215345856
SYN22426	4	224910327
SYN22431	4	224910985
SYN22433	4	224730780
SYN2244	4	173210826
SYN22449	8	52476198
SYN22457	9	113705780
SYN22464	3	112203541
SYN22465	3	112203495
SYN2247	4	173183482
SYN22470	6	18712443
SYN22472	6	155406121
SYN22474	6	155452586
SYN22477	6	155399911
SYN22478	6	155402084
SYN22480	6	155452505
SYN22481	6	155452517
SYN22486	5	211764413
SYN22488	5	211763488
SYN22496	9	136786416
SYN22497	9	136782125
SYN22499	9	136867832
SYN2250	4	173190158
SYN22501	9	136867806
SYN22505	4	16611439
SYN2251	4	173190190
SYN22510	4	16612067
SYN22518	6	62451341
SYN2252	4	169964800
SYN22521	6	137859767
SYN22524	6	137895056
SYN22530	9	99019609
SYN22531	9	99019684
SYN22533	9	99023216
SYN2254	4	170027668
SYN22541	9	120250504
SYN22542	9	120249272
SYN22544	9	120250713
SYN22545	9	120249620
SYN22556	10	147154005
SYN2256	4	169964527
SYN22560	10	147207357
SYN22564	10	147155426
SYN22565	10	147147757
SYN22567	10	147187911
SYN22569	10	147150364
SYN22580	10	147142424
SYN22582	7	36629687
SYN22585	6	151227389
SYN22586	6	80051157
SYN22588	6	80140794
SYN22589	6	80140875
SYN22590	6	80141055
SYN22596	6	165807274
SYN22597	6	165806991
SYN22598	6	165809161
SYN22604	6	102399359
SYN22608	6	102399426
SYN22610	7	144603265
SYN22612	7	144505751
SYN22613	7	144529777
SYN22615	7	144603850
SYN22616	7	144603823
SYN22619	7	144505644
SYN2262	4	169964259
SYN22622	9	142467499
SYN22625	9	142470715
SYN22629	9	142332773
SYN22631	9	142332828
SYN22633	9	142472548
SYN22636	6	118853366
SYN22648	5	3203476
SYN22651	5	3087555
SYN22654	5	3067749
SYN22655	5	3043290
SYN22658	5	3067643
SYN2266	1	260940608
SYN22661	5	3055925
SYN22663	5	3102163
SYN22665	5	3065126
SYN2267	1	260920359
SYN22674	5	3092850
SYN22676	5	3099692
SYN22677	5	3038493
SYN22678	5	3038486
SYN2268	1	260940436
SYN22681	5	3145938
SYN22682	5	3145984
SYN22689	5	19885844
SYN22690	5	19920945
SYN227	1	34209203
SYN22701	3	39292507
SYN2271	4	172833619
SYN22714	8	70798439
SYN22715	2	69911054
SYN22716	2	69912279
SYN22717	2	69912257
SYN2272	4	172833675
SYN22720	6	133355175
SYN22721	6	133355194
SYN22724	6	133353441
SYN22725	6	133353389
SYN22733	6	6432788
SYN22736	3	166447579
SYN22738	3	166451216
SYN22739	3	166450554
SYN22740	3	166449550
SYN22745	4	154688945
SYN22754	5	11065842
SYN22759	5	11085154
SYN22761	5	11085054
SYN22765	2	169493022
SYN22768	2	169492743
SYN22769	2	169494059
SYN22770	2	169492755
SYN22772	1	285391084
SYN22774	2	69178878
SYN22775	1	188331541
SYN22776	2	224907059
SYN22780	8	125741547
SYN22785	3	5296387
SYN22795	1	236953184
SYN22796	1	236951876
SYN2280	4	165639599
SYN22806	4	230351250
SYN22807	4	230483488
SYN22809	10	124230644
SYN2281	2	33464342
SYN22810	10	124183044
SYN22812	10	124237373
SYN22814	1	75071724
SYN22815	5	27643384
SYN22817	7	106754297
SYN22818	7	106754398
SYN22819	7	106748257
SYN22821	7	106749110
SYN22822	7	106749932
SYN22824	9	91045019
SYN22829	9	141931022
SYN2283	2	33543595
SYN22830	9	141934022
SYN22831	9	141933987
SYN22834	5	121801360
SYN22839	8	8138951
SYN22840	8	8123084
SYN22844	8	3662903
SYN22847	7	163917594
SYN22850	7	163967925
SYN22854	7	163926862
SYN22857	7	163926314
SYN2286	4	70634320
SYN22860	3	119968461
SYN22862	3	119967521
SYN22867	2	148879030
SYN2287	4	70635677
SYN22870	2	148877257
SYN22871	2	148878787
SYN22873	2	148866078
SYN22878	4	27982866
SYN2288	5	19671608
SYN22883	1	19911870
SYN22894	1	268152573
SYN22895	1	268170975
SYN22898	1	268171794
SYN22903	1	268171548
SYN22909	7	117018702
SYN22911	1	47291697
SYN22912	1	47303565
SYN22916	4	2682727
SYN22917	4	2682438
SYN22918	4	2694254
SYN22919	4	2621461
SYN22922	4	2647118
SYN22926	4	2674629
SYN22929	4	2674156
SYN22930	4	2674172
SYN22938	10	143740270
SYN2294	5	19676487
SYN22940	10	143740409
SYN22943	10	143747804
SYN22944	10	143717008
SYN22945	10	143717046
SYN22946	8	164747943
SYN22948	8	164859811
SYN22950	8	164748176
SYN22955	7	124270092
SYN22956	10	132553618
SYN22958	10	132535303
SYN2296	5	50552665
SYN22960	10	132542815
SYN22962	10	132539027
SYN22963	10	132613003
SYN22965	10	132547771
SYN22966	10	132613697
SYN22967	10	132539113
SYN22969	10	132526605
SYN2297	5	50552593
SYN22975	10	132621104
SYN22979	10	132620488
SYN22981	10	132620491
SYN22985	3	198387173
SYN22986	3	198216282
SYN22987	3	198385815
SYN22988	6	162727984
SYN22989	6	162686226
SYN22992	6	162689129
SYN22993	6	162686012
SYN22998	8	73903854
SYN22999	8	73903674
SYN230	1	279418685
SYN23000	8	73905196
SYN23001	4	32243080
SYN23002	4	32245929
SYN23003	4	32244946
SYN23004	4	32250518
SYN23005	4	32245737
SYN23006	4	32245757
SYN23007	4	32250611
SYN23011	2	191774194
SYN23013	2	191785522
SYN23015	2	191783762
SYN23017	2	191783347
SYN23020	2	191774036
SYN23021	2	191783318
SYN23022	2	191773978
SYN23026	2	118511470
SYN23028	2	118512028
SYN23033	4	30769002
SYN23035	4	30651174
SYN23037	4	30652655
SYN23040	4	108550454
SYN23043	1	113342930
SYN23045	4	154261107
SYN23047	4	154263949
SYN23050	4	154261177
SYN23059	7	132517767
SYN23062	7	132509157
SYN23066	9	118046086
SYN23067	8	80040599
SYN23073	9	113474957
SYN23079	9	113470739
SYN2308	4	181057497
SYN23082	2	174469427
SYN23084	2	174469669
SYN23087	2	174470030
SYN23089	3	191925944
SYN2309	4	181057827
SYN23090	3	192016711
SYN23092	3	191997048
SYN23093	3	192016017
SYN23097	8	16442995
SYN2310	4	181057744
SYN23101	4	167185622
SYN23103	4	167186691
SYN23104	4	167186464
SYN23105	4	167185357
SYN23106	4	167186034
SYN23108	4	167185982
SYN23110	8	91023332
SYN23112	8	90966409
SYN23114	8	90966776
SYN23117	10	27715037
SYN23119	1	28376885
SYN2312	4	181057610
SYN23120	2	54966030
SYN23121	2	54966035
SYN23125	2	54968237
SYN23126	2	54968268
SYN23129	10	99101529
SYN2313	4	181057798
SYN23133	7	160148299
SYN23134	7	160147015
SYN23135	7	160144557
SYN23136	7	160256720
SYN23137	7	160289557
SYN23139	7	160283444
SYN23140	7	160147205
SYN23144	7	160256427
SYN23145	7	160242542
SYN23147	7	160144708
SYN23150	7	160246003
SYN23151	7	160242175
SYN23152	7	160147454
SYN23154	7	160153513
SYN23156	7	160147491
SYN23159	7	160288825
SYN23166	7	160152925
SYN23168	1	34811132
SYN2317	4	177150719
SYN23172	1	81603381
SYN23174	1	81603669
SYN23177	1	81603049
SYN2318	4	177150624
SYN23184	8	120619934
SYN23185	8	120620106
SYN2319	4	177152295
SYN23195	8	139886926
SYN23197	8	139888272
SYN23199	8	139939431
SYN23200	8	139985678
SYN23201	8	139985659
SYN23204	3	179117770
SYN23205	3	179118361
SYN2321	4	177055738
SYN23211	8	164360963
SYN23212	8	164430850
SYN23215	8	164362049
SYN23218	8	164360709
SYN2322	4	177055544
SYN23220	8	164433165
SYN23223	8	164361071
SYN23225	8	164376554
SYN23226	8	164376577
SYN23231	3	184630147
SYN23233	3	184630418
SYN23234	3	184673723
SYN23237	3	184601452
SYN23238	3	184672515
SYN23240	3	184601825
SYN23243	3	184606125
SYN23244	3	184606146
SYN23245	3	184674522
SYN2325	4	177055664
SYN23250	3	184674497
SYN23253	3	184672762
SYN23256	8	116851261
SYN23257	8	116849645
SYN2326	4	177124331
SYN23261	8	116854957
SYN23262	8	116778870
SYN23264	4	60176290
SYN23267	2	3973216
SYN2327	4	177055653
SYN23271	2	3975025
SYN23275	2	3859649
SYN23277	2	3859698
SYN2328	4	177124296
SYN23281	3	40620471
SYN23282	2	222731128
SYN23284	2	222723689
SYN23285	2	222723674
SYN23287	1	38876430
SYN23288	1	38879590
SYN23289	1	38871055
SYN2329	2	38323452
SYN23292	5	27395555
SYN23294	5	27394919
SYN23297	3	123774495
SYN23300	5	51429258
SYN23307	6	162123972
SYN23313	4	12609566
SYN23314	4	12595247
SYN23315	1	189405969
SYN23319	9	7191887
SYN23320	9	7191269
SYN23321	9	7190557
SYN23322	9	7311899
SYN23324	9	7202656
SYN23326	9	7177720
SYN23327	9	7202660
SYN23330	9	7189486
SYN23332	9	7191537
SYN23335	4	233223656
SYN23336	4	233220369
SYN23337	4	233330454
SYN23338	4	233268189
SYN23339	4	233221062
SYN23340	4	233221259
SYN23347	4	233223813
SYN2335	4	156959334
SYN23350	6	104068433
SYN23355	1	96124066
SYN23356	2	171826661
SYN23357	2	171822405
SYN23358	2	171734926
SYN23359	6	122552093
SYN23360	6	122404594
SYN23362	6	122550145
SYN23364	6	122549141
SYN23366	5	43289223
SYN23367	7	36228199
SYN2337	4	156958137
SYN23375	2	60654767
SYN23377	5	180408835
SYN23380	5	180434859
SYN23381	5	180371986
SYN23388	5	180406757
SYN23392	5	180407655
SYN2340	4	156955443
SYN23402	4	37937180
SYN23403	2	21504776
SYN23406	2	21482800
SYN23410	3	170443837
SYN23411	3	170444147
SYN23413	3	170444223
SYN23417	4	233810435
SYN23418	4	233800696
SYN23426	4	59295494
SYN2344	4	172754187
SYN23444	1	29254640
SYN23445	1	29255212
SYN23446	1	29255792
SYN23448	1	29255108
SYN23449	1	29255462
SYN23452	2	178080019
SYN23460	5	8622902
SYN23461	5	8507235
SYN23466	5	8507009
SYN23467	5	8510156
SYN23472	5	8613853
SYN23473	5	8507032
SYN23474	5	8622764
SYN23477	10	22872309
SYN23488	1	79754773
SYN23490	6	144597176
SYN23491	6	144597589
SYN23500	6	105432346
SYN23501	9	142495938
SYN23509	6	141660187
SYN23516	6	137031536
SYN23521	6	137031818
SYN23522	6	137031822
SYN23523	6	159859808
SYN23524	8	172456993
SYN23535	2	143382665
SYN2354	5	1726329
SYN23548	10	127573879
SYN23550	10	127614808
SYN23552	10	127614759
SYN23557	3	37359200
SYN23558	3	37359219
SYN23562	4	154986209
SYN23563	4	154849683
SYN23565	4	154852886
SYN23568	2	49991366
SYN23569	2	49985255
SYN2357	5	1685687
SYN23571	2	49919187
SYN23572	2	49914448
SYN23575	2	49925995
SYN23576	2	49923876
SYN23578	2	49927252
SYN23579	2	49927187
SYN2358	5	1685686
SYN23583	8	35816182
SYN23587	4	39093569
SYN2359	5	1678218
SYN23590	9	84225573
SYN23593	7	24409023
SYN23596	7	24410220
SYN23597	7	24411010
SYN2360	5	1678216
SYN23600	7	24408229
SYN23621	6	156820261
SYN23623	6	156827327
SYN23624	6	156822664
SYN23626	6	156878921
SYN23628	6	156878678
SYN23632	6	156878893
SYN2364	5	1676347
SYN23640	6	156879515
SYN23641	9	127507151
SYN23642	9	127492022
SYN23643	9	127491462
SYN23644	3	9862322
SYN23648	8	171439446
SYN23649	8	171406046
SYN23653	8	171391033
SYN23655	8	171408011
SYN23657	8	171394213
SYN23658	8	171389771
SYN23659	8	171389975
SYN2366	5	1727065
SYN23661	8	171515909
SYN23666	6	132129708
SYN23669	1	142649156
SYN2367	5	1820513
SYN23676	7	275465
SYN23677	7	303224
SYN23678	7	303965
SYN23679	7	305828
SYN23680	2	36929703
SYN23681	1	167002094
SYN23682	1	167005095
SYN23685	5	53446493
SYN23686	7	130321809
SYN23687	7	130321745
SYN23688	7	164988358
SYN2369	5	1727480
SYN23691	7	164987683
SYN23695	8	101416463
SYN23697	9	154642911
SYN237	1	279475293
SYN23701	9	154602589
SYN23703	9	154602875
SYN23704	9	154612401
SYN23705	9	154605135
SYN23709	9	154600996
SYN2371	5	1727484
SYN23710	9	154604934
SYN23712	10	125305242
SYN23713	10	125331689
SYN23714	10	125302299
SYN23715	10	125334042
SYN2372	5	1676030
SYN23720	10	117327487
SYN23721	10	117327686
SYN23722	10	117322982
SYN23731	10	121691587
SYN23732	10	121725750
SYN23733	10	121691775
SYN23735	10	121746347
SYN23742	6	161059426
SYN23743	6	161012335
SYN23744	6	161054398
SYN23746	1	45508270
SYN23749	1	45507479
SYN23751	1	45505438
SYN23753	8	164182202
SYN23755	8	164190062
SYN23758	8	164180887
SYN23763	8	164191091
SYN23766	6	152466043
SYN23771	4	141093854
SYN23772	4	141096388
SYN23773	4	141093746
SYN23774	10	9912057
SYN23776	10	9910953
SYN23779	10	95214762
SYN23796	5	159165428
SYN23797	5	159104587
SYN23798	5	159202334
SYN23799	5	159117181
SYN23809	8	165402769
SYN2381	1	241472011
SYN23810	8	165405322
SYN23812	8	165405241
SYN23814	10	145278750
SYN23817	1	270890855
SYN23818	1	270883023
SYN23819	1	270877080
SYN23825	1	270890665
SYN23829	9	37286714
SYN23839	4	21913383
SYN2384	1	241392449
SYN23840	4	21913199
SYN23841	4	21914169
SYN23842	4	21911830
SYN23844	8	170280554
SYN23846	8	170276599
SYN23848	7	45541939
SYN2385	1	241395814
SYN23851	7	45538414
SYN23855	6	155508945
SYN23857	6	155509983
SYN23859	6	155589761
SYN23860	6	155589637
SYN23862	6	155509334
SYN23863	6	155593756
SYN23864	6	155666531
SYN23866	6	155509145
SYN23868	6	155593487
SYN23869	6	155590529
SYN23873	6	155509795
SYN23876	6	155591793
SYN23878	6	155508878
SYN23881	6	155666420
SYN23892	6	128308620
SYN23894	6	128300507
SYN23896	3	188535953
SYN23898	3	107571442
SYN23899	2	3402040
SYN23902	2	3379557
SYN23903	2	3379597
SYN23905	2	3339261
SYN23906	2	3410285
SYN23909	6	117852982
SYN23911	6	117798733
SYN23913	6	117797720
SYN23914	6	117799228
SYN23915	6	117798996
SYN23916	6	117799051
SYN23917	6	117799272
SYN23918	6	107368180
SYN23920	6	107380746
SYN23921	6	107360000
SYN23925	6	107321347
SYN23928	6	107321143
SYN23936	10	123573672
SYN23937	10	123574157
SYN23939	10	123573988
SYN23940	10	123574149
SYN23944	7	1787559
SYN23948	7	10971620
SYN23956	4	66921877
SYN23957	4	66899035
SYN23958	2	189555875
SYN23963	2	189499840
SYN23968	1	61448230
SYN23970	7	31446852
SYN23973	7	3182249
SYN23976	1	89245108
SYN23977	1	89242204
SYN23978	1	89242851
SYN23979	1	89243072
SYN23980	1	89243104
SYN23986	10	66545110
SYN2399	1	32869478
SYN23990	7	11806377
SYN23991	4	236169590
SYN23993	4	236110677
SYN23994	4	236171777
SYN23995	4	236169120
SYN23996	4	236175035
SYN23997	4	236216085
SYN23999	4	236108005
SYN24	1	26038500
SYN240	2	14685935
SYN24005	4	236114204
SYN24006	4	236185128
SYN24008	4	236215909
SYN24009	4	236171244
SYN24011	4	236185083
SYN24015	4	236171662
SYN24017	4	236214229
SYN24018	4	236214287
SYN2402	2	13025963
SYN24023	4	20739200
SYN24024	4	20739533
SYN24025	4	20739404
SYN24026	4	20738948
SYN24027	4	20736308
SYN24029	4	20737745
SYN24044	4	4622706
SYN2405	1	176054753
SYN24053	6	111558772
SYN24054	6	153625210
SYN24056	6	153625399
SYN2406	1	176095459
SYN24063	5	21993403
SYN24065	5	21993745
SYN24068	6	156522953
SYN24070	6	156523573
SYN24071	6	156522723
SYN24073	6	156519729
SYN24074	6	156524190
SYN24075	6	156524207
SYN2408	1	176058970
SYN24080	1	264955990
SYN24081	1	264958191
SYN24082	1	265013874
SYN24083	1	264954421
SYN24086	2	54088944
SYN24087	2	54088015
SYN24088	2	54089179
SYN24089	2	54089164
SYN24093	4	153472277
SYN24096	5	200491310
SYN24099	5	200487029
SYN241	1	122472531
SYN24101	5	200487329
SYN24104	5	200466115
SYN24105	4	37101516
SYN24107	4	37231027
SYN24109	4	37098309
SYN2411	1	220711263
SYN24111	4	37102610
SYN2412	1	220711569
SYN24121	2	57203117
SYN24124	1	179598399
SYN24126	1	179599090
SYN24127	1	179598614
SYN24128	1	179597006
SYN24131	1	179597142
SYN24132	1	179605892
SYN24133	1	179600171
SYN24138	1	179599494
SYN24139	7	139138944
SYN2414	1	220776564
SYN24140	7	139138892
SYN24142	1	67727977
SYN24144	1	67727790
SYN24145	1	67727585
SYN24148	2	204633090
SYN24149	2	204699561
SYN2415	1	220714804
SYN24150	2	204632910
SYN24152	2	204632864
SYN24153	2	204632681
SYN24154	2	204633258
SYN24156	4	1254252
SYN24159	5	216699664
SYN2416	1	220714817
SYN24160	5	216741923
SYN24165	3	189699414
SYN24166	1	169356978
SYN24168	9	47213790
SYN24169	9	47214192
SYN24171	3	135285424
SYN24172	3	193757671
SYN24173	3	193657719
SYN24179	9	93446691
SYN24182	3	195126093
SYN24183	7	17002232
SYN24184	7	16998125
SYN24185	7	16998978
SYN24186	7	16994287
SYN24187	7	16994572
SYN24190	7	16994479
SYN24195	1	62227891
SYN24196	1	62229570
SYN24199	1	62228253
SYN242	2	56108084
SYN2420	1	183301783
SYN24205	9	21723713
SYN24207	1	61716093
SYN24213	1	61714541
SYN24217	4	62566899
SYN24219	4	62568928
SYN24220	4	62570806
SYN24223	4	62570276
SYN24224	4	62569955
SYN24229	5	145525514
SYN24238	1	34660261
SYN24239	1	34672615
SYN2424	1	53830392
SYN24240	1	34667775
SYN24242	1	34665436
SYN24243	1	34716519
SYN24244	1	34716513
SYN24264	3	223025711
SYN24268	3	223090872
SYN24279	5	217007241
SYN2428	1	144956844
SYN24283	4	30431794
SYN24285	10	102371595
SYN24289	4	238121799
SYN24293	4	238224697
SYN24294	4	238167359
SYN243	2	56107836
SYN24304	10	142186320
SYN24308	10	142181447
SYN24309	10	142161672
SYN2431	1	10088737
SYN24312	7	82569223
SYN24313	7	82650113
SYN24314	7	82649690
SYN24315	7	82650030
SYN24316	7	82650425
SYN24318	5	58753531
SYN24320	5	58753889
SYN24328	9	153562715
SYN24329	9	153542222
SYN24330	9	153489840
SYN24333	9	153509556
SYN2434	1	10088946
SYN24345	9	153420420
SYN2435	1	10089472
SYN24350	3	10453059
SYN24351	3	10453328
SYN24353	9	128175290
SYN24354	9	128175762
SYN24355	9	128301095
SYN24356	9	128175842
SYN24359	9	128177888
SYN2436	1	10089392
SYN24361	6	129473249
SYN24362	6	129471739
SYN24366	6	129471538
SYN24367	6	129473173
SYN24370	1	28078326
SYN24373	1	28071009
SYN24377	4	20506680
SYN24385	10	87090725
SYN24386	10	87089622
SYN24388	10	87089576
SYN2439	1	170670191
SYN24392	7	143409821
SYN24393	7	143410327
SYN24395	7	143410578
SYN24396	7	143410022
SYN24399	7	143394871
SYN24403	1	144425995
SYN24407	2	91954798
SYN24408	6	162307240
SYN24410	6	162310549
SYN24411	6	162308693
SYN24412	6	162309261
SYN24413	6	162308979
SYN24414	6	162373180
SYN24415	6	162311097
SYN24416	6	162310795
SYN24417	6	162310626
SYN24418	6	162307061
SYN24419	6	162307064
SYN24422	2	210393174
SYN24423	2	210357430
SYN2443	1	170671002
SYN24431	4	22557970
SYN24433	4	22623381
SYN24434	7	2963772
SYN24439	7	2963677
SYN2444	1	170670076
SYN24442	5	189047192
SYN24449	8	168480184
SYN2445	1	119551660
SYN24451	2	211158064
SYN24452	2	211169201
SYN24453	2	211029755
SYN24459	6	154165245
SYN24461	6	154131736
SYN24462	6	154173819
SYN24465	6	154237741
SYN24466	6	154167446
SYN24468	6	154131003
SYN24469	6	95940943
SYN2447	1	150709115
SYN24470	6	95942325
SYN24474	6	164370115
SYN24475	6	164372830
SYN24476	6	164367793
SYN24487	6	164369808
SYN24488	6	164378577
SYN24490	6	164472037
SYN24492	1	256938985
SYN2451	4	173990524
SYN24516	4	3753007
SYN24517	4	3753114
SYN2452	4	173932512
SYN24520	4	3746664
SYN24526	4	3760689
SYN24528	6	162544731
SYN24533	6	162643904
SYN24534	6	162547527
SYN24537	6	162643653
SYN24539	6	162645229
SYN24540	6	162645223
SYN24541	6	162644014
SYN24542	6	162643967
SYN24545	4	201465541
SYN24546	4	36882164
SYN24549	4	36881547
SYN24550	4	36881557
SYN24551	9	57362502
SYN24553	8	141992813
SYN24556	9	2335071
SYN24557	9	2338322
SYN24561	4	151919340
SYN24563	8	9901025
SYN24572	2	20008232
SYN24588	3	227396141
SYN24589	3	227490610
SYN24595	3	227412897
SYN24596	3	227412895
SYN24597	3	227479012
SYN246	1	26825328
SYN24605	7	10288416
SYN24609	6	127894870
SYN24610	6	127895391
SYN24614	6	127895172
SYN24621	6	60979717
SYN24623	6	60978500
SYN24624	6	60979788
SYN2463	4	174011630
SYN24631	1	27895234
SYN24632	1	27918394
SYN24633	1	27909410
SYN24635	1	27916969
SYN24640	1	54346309
SYN24643	1	54345772
SYN24644	1	54345216
SYN24646	1	54345134
SYN24650	5	203803539
SYN24659	5	203804013
SYN24660	5	203804069
SYN24662	4	42636563
SYN24663	4	42636565
SYN24665	4	42636493
SYN24675	6	119395191
SYN24677	6	113885802
SYN24678	1	90556124
SYN2468	1	50439206
SYN24680	4	153198160
SYN24682	4	153197677
SYN2469	1	204647657
SYN24695	1	18630766
SYN24698	2	12685114
SYN24701	2	12684763
SYN24702	2	12685563
SYN24710	9	86531573
SYN24719	9	137070363
SYN24721	9	137092223
SYN24722	9	137089222
SYN24723	6	80186769
SYN24724	6	80190860
SYN24725	6	80190869
SYN24728	7	21635026
SYN24732	7	21547049
SYN24736	2	190504244
SYN24738	2	190672018
SYN24744	2	195918953
SYN24745	2	195918959
SYN24746	2	195912702
SYN24747	2	195912740
SYN24750	9	135278806
SYN24753	9	135152701
SYN24754	9	135153221
SYN24761	6	140708075
SYN24762	6	140712041
SYN24768	6	109071574
SYN24775	5	203652957
SYN24776	5	203614042
SYN24777	5	203648499
SYN24778	5	203625467
SYN24779	5	203630893
SYN24780	5	203616793
SYN24785	6	141276609
SYN24786	6	141275282
SYN2479	1	281828141
SYN24791	6	141276840
SYN24792	6	141276869
SYN24793	10	65189345
SYN24795	8	121485975
SYN24797	8	121485837
SYN248	1	26825638
SYN24802	6	167113114
SYN24806	6	167034392
SYN24807	6	167031782
SYN24809	6	167031718
SYN24811	6	167032546
SYN24814	6	167032598
SYN24824	7	137525580
SYN24826	1	20419858
SYN24827	1	20419527
SYN24828	1	20419410
SYN24833	3	40064069
SYN24834	3	40064522
SYN24835	3	40064687
SYN24837	3	40065509
SYN24841	4	37344817
SYN24842	4	37321044
SYN24847	2	200738567
SYN24855	2	200803963
SYN24856	2	200803956
SYN24868	1	55390958
SYN24871	6	164580801
SYN24874	6	164585753
SYN24875	6	164582401
SYN24876	6	164584350
SYN24877	6	164580060
SYN24878	6	164583460
SYN24879	6	164581228
SYN24882	6	164580621
SYN24883	6	164581530
SYN24884	6	164581540
SYN24886	4	36725031
SYN24888	2	45992880
SYN24889	2	45958063
SYN24891	2	45990408
SYN24893	2	45960570
SYN24894	2	45960697
SYN24896	2	45960795
SYN24897	2	45958220
SYN24898	2	45961398
SYN24899	2	45958269
SYN24901	4	170518204
SYN24902	4	170517762
SYN24904	4	170518042
SYN24907	1	67528836
SYN24908	1	67533887
SYN24910	1	1161147
SYN24913	9	108353118
SYN24921	2	230246461
SYN24927	4	23954718
SYN24929	7	40616852
SYN24931	8	132877982
SYN24934	2	234408960
SYN24935	2	234407011
SYN24936	2	234408306
SYN24938	2	234408477
SYN24940	2	234401105
SYN24941	2	234409565
SYN24942	2	234409811
SYN24943	2	234406945
SYN24944	2	234408078
SYN24945	2	234408032
SYN24947	1	276814202
SYN24948	1	276814672
SYN24952	7	106647111
SYN24955	7	106647178
SYN2496	5	182450090
SYN24961	3	194331226
SYN24962	3	194336817
SYN24963	3	194331353
SYN24967	7	174760911
SYN24968	7	174745386
SYN24974	7	2134682
SYN24975	7	2135320
SYN24977	7	18521043
SYN24978	7	18626150
SYN24981	7	18522747
SYN24982	7	18520424
SYN24983	7	18520439
SYN24992	7	8177958
SYN24994	7	8309156
SYN24995	7	8309069
SYN24996	7	8218517
SYN24998	7	8179013
SYN24999	7	8309270
SYN250	1	26825413
